tempo|week|week_int|year|account_id|account_name|webproperty_id|webproperty_name|webproperty_level|webproperty_website_url|profile_currency|profile_type|profile_website_url|profile_id|profile_name|users|bounces|new_users|pageviews|sessions|time_on_page|unique_pageviews|upload_time|info|period
20201211|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|12|13|8|13|13|0.0|13|2021-02-21 22:58:32.426159|basic|day
20201212|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|12|12|7|12|12|0.0|12|2021-02-21 22:58:32.426159|basic|day
20201213|50|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|13|14|6|16|15|1577.0|15|2021-02-21 22:58:32.426159|basic|day
20201214|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|13|14|7|17|15|720.0|15|2021-02-21 22:58:32.426159|basic|day
20201215|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|8|7|7|9|8|647.0|8|2021-02-21 22:58:32.426159|basic|day
20201216|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|9|8|7|10|9|0.0|10|2021-02-21 22:58:32.426159|basic|day
20201217|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|8|9|1|9|9|0.0|9|2021-02-21 22:58:32.426159|basic|day
20201218|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|11|10|4|12|11|1.0|11|2021-02-21 22:58:32.426159|basic|day
20201219|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|16|15|13|17|16|515.0|16|2021-02-21 22:58:32.426159|basic|day
20201220|51|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|9|9|6|9|9|0.0|9|2021-02-21 22:58:32.426159|basic|day
